url,title,status,source_page
https://www.aa.org/assets/en_US/p-1_thisisaa1.pdf,What is A.A.?,not-a-pdf,https://www.aa.org/aa-home
https://www.aa.org/assets/en_US/p-23_aaasaresourceforhcp1.pdf,For the Health Care Professional,not-a-pdf,https://www.aa.org/aa-home
https://www.aa.org/assets/en_US/p-47_understandinganonymity.pdf,Understanding Anonymity,not-a-pdf,https://www.aa.org/aa-home
https://www.aa.org/assets/en_US/p-90-HispanicWomeninAA.pdf,Hispanic Women in A.A.,not-a-pdf,https://www.aa.org/press-media
https://www.aa.org/assets/en_US/smf-121_en.pdf,Los Doce Pasos,not-a-pdf,https://www.aa.org/es/the-twelve-steps
https://www.aa.org/assets/en_US/smf-177_en.pdf,For Alcohol & Drug Court Professionals,not-a-pdf,https://www.aa.org/aa-home
https://www.aa.org/assets/es_ES/sp-15_Q&AonSpon.pdf,PREGUNTAS Y RESPUESTAS SOBRE EL APADRINAMIENTO,not-a-pdf,https://www.aa.org/es
https://www.aa.org/assets/es_ES/sp-15_Q&amp;AonSpon.pdf,¿Tiene un problema con el alcohol? Hay una solución.,not-a-pdf,https://www.aa.org/es
https://www.aa.org/assets/es_ES/sp-1_thisisaa1.pdf,¿QUÉ ES A.A.?,not-a-pdf,https://www.aa.org/es
https://www.aa.org/assets/es_ES/sp-45_circleoflove.pdf,CÍRCULOS DE AMOR Y SERVICIO,not-a-pdf,https://www.aa.org/es
https://www.aa.org/assets/es_ES/sp_bm-31.pdf,EL MANUAL DE SERVICIO DE A.A.,not-a-pdf,https://www.aa.org/es
https://www.aa.org/assets/fr_FR/ff-3_selfsupport.pdf,L’autonomie financière – l’alliance de l’argent et de la spiritualité,not-a-pdf,https://www.aa.org/fr/aa-member
https://www.aa.org/assets/fr_FR/fp-15_Q&AonSpon.pdf,Questions et réponses sur le parrainage,not-a-pdf,https://www.aa.org/fr/aa-member
https://www.aa.org/assets/fr_FR/fp-15_Q&amp;AonSpon.pdf,Prêt à vous impliquer dans les AA?,unreachable,https://www.aa.org/fr/aa-member
https://www.aa.org/assets/fr_FR/fp-16_theaagroup.pdf,Le Groupe des AA,not-a-pdf,https://www.aa.org/fr/aa-member
https://www.aa.org/assets/fr_FR/fp-1_thisisAA1.pdf,Qu’est-ce que les AA ?,not-a-pdf,https://aa.org/fr
https://www.aa.org/assets/fr_FR/fp-23_aaasaresourceforhcp.pdf,LES AA : UNE RESSOURCE POUR LES PROFESSIONNELS DE LA SANTÉ,not-a-pdf,https://aa.org/fr
https://www.aa.org/assets/fr_FR/fp-45_circleoflove.pdf,CERCLES D’AMOUR ET DE SERVICE,not-a-pdf,https://www.aa.org/fr/aa-member
https://www.aa.org/assets/fr_FR/fp-47_understandinganonymity.pdf,LE SENS DE L’ANONYMAT,not-a-pdf,https://aa.org/fr
https://www.aa.org/content-files/sp_pdfs/sp_application_soundorfilm.pdf,"Coordinador, Comité de Archivos Históricos de los custodios P.O. Box 459 Grand Central Station New York, NY 10163",not-a-pdf,https://www.aa.org/es/collections-access-policies
https://www.aa.org/sites/default/files/literature/Alcoholics%20Anonymous%20%3A%20Alcoholics%20Anonymous%20Holds%20Virtual%20World%20Service%20Meeting%20—%20First%20Time%20in%20History.pdf,Alcoholics Anonymous Holds Virtual World Service Meeting — First Time in History,unreachable,https://www.aa.org/press-releases
https://www.aa.org/sites/default/files/literature/Alcoholics%20Anonymous%20%3A%20Alcohólicos%20Anónimos%20celebra%20su%2085º%20aniversario%20con%20la%20Convención%20Internacional%20de%202020%20en%20l%C3%ADnea.pdf,Alcohólicos Anónimos celebra su 85º aniversario con la Convención Internacional de 2020 en línea,unreachable,https://www.aa.org/es/press-releases
https://www.aa.org/sites/default/files/literature/F30_NewGroupListingGuidelinesForm_fillable_EN.pdf,Add your group's information,not-a-pdf,https://www.aa.org/the-aa-group
https://www.aa.org/sites/default/files/literature/en_newgroup.pdf,New Group Form,not-a-pdf,https://www.aa.org/the-aa-group
https://www.aa.org/sites/default/files/literature/fr_application_researchers.pdf,Cliquer ici,unreachable,https://www.aa.org/fr/collections-access-policies
https://www.aa.org/sites/default/files/literature/smf-122_en%201121.pdf,The Twelve Traditions,not-a-pdf,https://www.aa.org/the-twelve-traditions
https://www.aa.org/sites/default/files/literature/smf-187_fr%201221.pdf,Les Douze Traditions,not-a-pdf,https://www.aa.org/fr/the-twelve-traditions
https://www.aa.org/sites/default/files/literature/sp_newgroup.pdf,Formulario De Nuevo Grupo,not-a-pdf,https://www.aa.org/es/the-aa-group
